6572	7471	144	618	1934
4504	5975	1258	105	5425
6017	5618	1504	3020	631
1514	2703	9391	6374	6349
8110	2096	2083	1004	9987
4690	6039	8117	6463	5605
3965	3651	2334	2036	1364
4021	1826	8485	51	7308
6172	6596	1196	3103	487
6877	593	5937	3720	7975
718	8798	9272	9974	3861
585	4722	6502	1951	6756
3841	1828	6560	1652	99
9532	5459	3169	7778	1815
8850	6891	3881	4940	6124
7079	8099	4286	8293	1549
7655	8361	5655	6054	5198
4150	7873	2351	6038	5277
6254	6881	7670	6188	9634
1842	1726	533	4465	4864
7045	2579	9152	3111	5700
344	6321	4860	8369	7879
2728	5891	3482	9770	3612
4128	4371	1251	8778	7643
745	3709	3699	2146	6262
1418	347	3206	1669	7848
7469	3038	9333	7929	3443
5371	2726	4234	2218	8277
2140	5539	6957	4462	4420
8951	3373	2411	9794	4323
2441	7688	5471	2812	9950
7784	6224	7977	6707	4569
3957	317	1271	5727	1115
7969	4529	2207	3313	6589
7649	4715	8374	916	523
2323	5762	8865	7541	7054
5209	5977	8603	3882	5137
6150	8370	2691	3481	5867
9500	7750	4515	6048	4487
3662	1356	3829	6030	2129
7477	7960	2262	2817	3777
2394	6693	8885	4300	2088
4537	5522	3157	8569	5390
5239	4719	8623	5661	2535
635	3774	5244	1718	3727
9971	3314	5420	405	948
1827	5017	174	2500	9049
714	1384	6353	1048	3455
201	2216	9010	9289	9077
918	9969	540	6302	9412
287	9665	9144	4651	8328
7737	4235	6996	9617	4638
4232	4123	5850	9431	3309
561	8706	1961	1036	6545
2474	7333	4733	416	539
336	760	100	7910	3519
1585	4063	1431	1039	4122
3015	2971	5945	1277	5077
5186	6836	4412	2183	2417
8857	8890	1009	5386	1246
8437	2113	3454	1137	5688
6741	9817	4617	6286	5401
3461	2293	6459	1732	3191
780	4547	3558	9504	1422
6398	6904	6375	8380	641
7783	1163	4842	806	5796
4392	4348	3615	1597	5177
1728	9932	7102	5060	7201
7362	5552	4837	1747	4707
8264	3435	9086	9308	4670
3722	4211	377	5546	1748
7526	2755	3116	9310	5892
3012	1993	4951	3596	135
8345	616	8698	9811	9580
7291	2666	7412	4786	7571
2032	2956	5465	1941	5981
7859	2391	6333	5579	858
231	7611	7264	9999	9595
9937	1619	391	241	3836
1089	6890	7576	409	6244
9408	6739	420	2767	8196
8257	4887	193	7921	7499
8349	4317	7310	8288	2420
1082	6289	1259	7481	1918
2509	9320	4429	8702	6156
4681	9199	7557	4239	1907
4658	6387	8501	7239	6680
5622	3858	26	6229	9916
6272	7810	6513	2545	4530
9002	690	5000	6854	6853
3114	1739	1970	6488	5530
8913	8386	5232	5612	7077
5878	2858	1945	5924	2024
5495	9132	3402	3944	5758
4639	6400	6882	6752	5930
8307	6108	7365	5741	8063
2832	2639	4193	9658	1012
4238	6118	8198	9247	4139
8348	9714	4015	5001	8468
6623	5538	8151	7653	6251
7766	5069	6450	1056	9203
1361	8392	3747	94	2084
4131	2508	5921	2884	4149
1621	228	7012	5071	4355
3432	5352	2881	3541	8835
1073	4503	1018	8228	157
7636	35	9365	4945	4274
2332	6486	8502	8936	464
1155	4947	592	4863	1000
3113	9201	1187	7347	8412
1469	8445	869	2915	9484
6438	6831	110	1404	2760
3136	3951	9309	5290	4096
1450	7464	2305	7887	5480
9102	1583	8771	1560	1276
4766	6033	2164	6612	8422
7184	3055	7083	1346	8613
7377	6894	2719	6089	6613
4174	835	9716	2326	5666
6688	7145	8836	424	1278
8229	6287	8636	6008	4823
6149	3755	3073	9175	4892
917	8320	5497	3328	2182
2201	6426	2763	6155	2028
5217	7683	433	6786	9709
